x,y
-0.8532515076883982,-0.0013588457158445935
-0.8532511224843051,-0.016286773838313364
-0.8532506728999356,-0.031224659499774658
-0.8532502971950404,-0.046181672796851835
-0.8532498500644996,-0.061167020161198335
-0.8532494346394579,-0.07618998973450569
-0.8532490397945038,-0.09125995758912162
-0.8532485931585994,-0.10638640790461022
-0.8532481893275062,-0.12157898427917503
-0.8532477245489212,-0.13684747101746828
-0.8532472981734484,-0.152201872876103
-0.8532469035214317,-0.16765239953182481
-0.8532464138856831,-0.18320948115635807
-0.8532460317478362,-0.19888389159329078
-0.8532455689968791,-0.21468662859932874
-0.8532451238089296,-0.23062909342951654
-0.853244649359315,-0.24672302757112433
-0.8532442154318342,-0.2629806167026201
-0.85324374947886,-0.27941445645814184
-0.8532432899482524,-0.2960376687754895
-0.8532428359313778,-0.3128639027718345
-0.853242309733618,-0.32990736506818824
-0.8532418486064686,-0.3471829831479505
-0.8532413675008105,-0.36470629696133505
-0.8532408429828314,-0.3824936247954697
-0.8532403640595281,-0.40056215998927336
-0.8532398535370483,-0.41892991858332235
-0.8532393275457537,-0.43761593351649214
-0.853238767458711,-0.4566402824416271
-0.8532382514052634,-0.4760242516151955
-0.8532377093663099,-0.49579030824538756
-0.8532371427894574,-0.51596232991869
-0.8532365185425561,-0.536565671472831
-0.8532360076788406,-0.5576274549845924
-0.853235307987273,-0.5791762882991348
-0.8532347053707473,-0.601243122022412
-0.8532341201636594,-0.6238608161470788
-0.853233440023659,-0.6470645536915722
-0.8532328104283111,-0.6708922970110378
-0.8532321407767514,-0.6953846817250945
-0.8532313552386753,-0.7205854863605149
-0.8532306863940395,-0.7465422179145057
-0.8532299395165842,-0.7733058607744151
-0.8532291801517325,-0.8009318704027799
-0.8532283792126492,-0.8294803392682987
-0.8532275511406138,-0.8590166524987614
-0.8532266630306833,-0.8896120056626701
-0.8532258195001936,-0.9213442856634224
-0.8532248843101711,-0.9542984625775002
-0.8532239254970151,-0.9885679636607815
-0.8532229119455983,-1.0242553912853904
-0.853221866816575,-1.0614738962683785
-0.8532207391800306,-1.1003484182823398
-0.8532196554539695,-1.141017626814129
-0.8532184198145895,-1.1836351655371595
-0.8532171894123917,-1.228372764609177
-0.853215906258061,-1.2754221005807262
-0.8532145188640551,-1.3249981793573693
-0.8532130524708801,-1.3773431326084946
-0.8532114821264593,-1.4327304299809371
-0.8532098358083088,-1.4914703342189306
-0.8532080920189609,-1.5539161300253315
-0.853206227496618,-1.6204719789597541
-0.8532042212494656,-1.6916024563024785
-0.8532021273096546,-1.767844456576797
-0.8531997847254601,-1.8498212092317825
-0.853197357982342,-1.9382617064828538
-0.8531946248361181,-2.0340223202110908
-0.8531917665593719,-2.1381181047406965
-0.8531885427585157,-2.2517589684385713
-0.853185068093303,-2.3764012571995825
-0.8531812495455868,-2.5138119988966188
-0.8531770041826765,-2.6661573142278625
-0.8531722557797378,-2.836121866271107
-0.7998342554804371,-2.837847256642625
-0.7465054286415544,-2.837846105557112
-0.6936652290218911,-2.8378449105287538
-0.6412751069452323,-2.8378438768880945
-0.4964244926327434,-2.3905996547560506
-0.4518649482469523,-2.3848422285811472
-0.48643625866366896,-2.837840450713197
-0.43548267550970776,-2.8378394796663797
-0.384801947794302,-2.8378382574648273
-0.3343611655620963,-2.837837187354855
-0.2841279418145418,-2.8378361503491867
-0.23407041580375867,-2.83783501288721
-0.18415718964480368,-2.83783389719378
-0.13435720479106567,-2.8378327332949764
-0.08463969580840824,-2.8378317559279127
-0.03497407862703808,-2.837830806226179
0.014670091695042535,-2.8378295803082327
0.06432320480036995,-2.8378285893641477
0.11401567380967101,-2.837827491779245
0.16377800380282465,-2.8378262813840816
0.2136408955362713,-2.8378252776283936
0.2636352603572838,-2.8378241596730196
0.3137923704992492,-2.837823136910545
0.36414385984073194,-2.837821974248546
0.41472189984148844,-2.8378209108180386
0.46555920304550935,-2.8378199133353927
0.5166891214282116,-2.837818873147246
0.5681457207734212,-2.837817560741363
0.6199640564493344,-2.837816506893884
0.6721799399325593,-2.8378153046265826
0.724830357670785,-2.837814177912227
0.7779534268343025,-2.8378132046121225
0.8315884087223017,-2.8378120085907947
0.8857761207709914,-2.837810819032067
0.9405588639964751,-2.8378096765377525
0.9959805107271813,-2.8378083289062657
1.0520870018782824,-2.837807238516654
1.1089259147101178,-2.8378058744442733
1.1665474016149797,-2.837804807632714
1.2250035592270148,-2.8378035464167612
1.2843492532785097,-2.8378021422968707
1.344642200318811,-2.837800768470089
1.4059431228289845,-2.837799511211974
1.468315894380201,-2.8377981509267767
1.5318281273790386,-2.837796772465362
1.5965513699956202,-2.8377954864197235
1.6625611691257394,-2.8377939317598737
1.7299382147557705,-2.8377926110567975
1.7987677256985042,-2.8377910884833284
0.7693228096170317,-1.1680105594869816
0.7693234281757226,-1.1246794900416366
0.769323987575262,-1.0835094961623446
0.7693245753126154,-1.0443195554765645
0.7693251134800916,-1.0069477424871383
0.7693255742931917,-0.9712490145217079
